"","DSSalary","StateName","StateAbbr","DSJobCount","RPP2017","MHI","MHINewRank","HasDSJobs","RPP2017Percent","AdjDSSalary","AdjMHI","RatioSalMHI","RankDSSalary","RankAdjDSSalary","RankMHI","RankAdjMHI","RankRatioSalMHI","StateName2","DSSalaryFlag","MHIFlag","AdjDSSalaryFlag","AdjMHIFlag","RatioSalMHIFlag"
"37",107914,"Wisconsin","WI",NA,92.4,59305,22,"NO",0.924,116790.043290043,64182.9004329004,1.81964421212377,14,28,29,34,19,"Wisconsin","","","","",""
"38",107212,"Kansas","KS",1,90,56422,30,"YES",0.9,119124.444444444,62691.1111111111,1.9001807805466,13,31,21,29,28,"Kansas","","","","",""
"39",106906,"Maine","ME",NA,98.4,56277,31,"NO",0.984,108644.308943089,57192.0731707317,1.89963928425467,12,7,20,16,27,"Maine","","","BOTTOM10","",""
"40",106591,"Arkansas","AR",NA,86.5,45869,48,"NO",0.865,123226.589595376,53027.7456647399,2.32381346879156,11,40,3,6,47,"Arkansas","","BOTTOM10","TOP15","BOTTOM10","TOP15"
"41",106380,"Texas","TX",5,97,59206,23,"YES",0.97,109670.103092784,61037.1134020619,1.79677735364659,10,11,28,27,18,"Texas","BOTTOM10","","","",""
"42",105827,"Georgia","GA",3,92.5,56183,32,"YES",0.925,114407.567567568,60738.3783783784,1.88361248064361,9,22,19,25,23,"Georgia","BOTTOM10","","","",""
"43",105580,"Alabama","AL",NA,86.7,48123,45,"NO",0.867,121776.239907728,55505.1903114187,2.19396130748291,8,35,6,8,41,"Alabama","BOTTOM10","BOTTOM10","","BOTTOM10","TOP15"
"44",104712,"New Mexico","NM",NA,93.3,46744,46,"NO",0.933,112231.511254019,50100.7502679528,2.24011637857265,7,17,5,2,44,"New Mexico","BOTTOM10","BOTTOM10","","BOTTOM10","TOP15"
"45",104135,"Mississippi","MS",NA,85.7,43529,49,"NO",0.857,121511.085180863,50792.2987164527,2.39231317052999,6,34,2,3,49,"Mississippi","BOTTOM10","BOTTOM10","","BOTTOM10","TOP15"
"46",103641,"Illinois","IL",6,98.5,62992,16,"YES",0.985,105219.289340102,63951.269035533,1.64530416560833,5,6,35,32,11,"Illinois","BOTTOM10","","BOTTOM10","",""
"47",103035,"Michigan","MI",1,93,54909,33,"YES",0.93,110790.322580645,59041.935483871,1.87646833852374,4,13,18,19,22,"Michigan","BOTTOM10","","","",""
"48",101410,"Missouri","MO",NA,89.5,53578,36,"NO",0.895,113307.262569832,59863.687150838,1.89275448878271,3,18,15,21,25,"Missouri","BOTTOM10","","","",""
"49",99081,"Florida","FL",1,99.9,52594,39,"YES",0.999,99180.1801801802,52646.6466466466,1.88388409324258,2,1,12,5,24,"Florida","BOTTOM10","","BOTTOM10","BOTTOM10",""
"50",91420,"North Carolina","NC",2,91.3,52752,38,"YES",0.913,100131.43483023,57778.7513691128,1.73301486199575,1,4,13,17,15,"North Carolina","BOTTOM10","","BOTTOM10","",""
